State	LogProb	m[0][0]	m[0][1]	m[0][2]	m[0][3]	m[0][4]	m[0][5]	m[0][6]	m[1][0]	m[1][1]	m[1][2]	m[1][3]	m[1][4]	m[1][5]	m[1][6]	m[2][0]	m[2][1]	m[2][2]	m[2][3]	m[2][4]	m[2][5]	m[2][6]	m[3][0]	m[3][1]	m[3][2]	m[3][3]	m[3][4]	m[3][5]	m[3][6]	m[4][0]	m[4][1]	m[4][2]	m[4][3]	m[4][4]	m[4][5]	m[4][6]	m[5][0]	m[5][1]	m[5][2]	m[5][3]	m[5][4]	m[5][5]	m[5][6]	m[6][0]	m[6][1]	m[6][2]	m[6][3]	m[6][4]	m[6][5]	m[6][6]	
2000	-5354.47	0.876971	0.00746189	0.00629964	0.0305559	0.0209882	0.0276066	0.0301173	0.0121605	0.902405	0.0012601	0.0489498	0.00359466	0.00748539	0.0241449	0.010871	0.0167554	0.858301	0.00262933	0.0168302	0.076085	0.0185284	0.039158	0.0117989	0.0261118	0.906817	0.00278633	0.012517	0.000810519	0.0481668	0.036456	0.0256888	0.0648699	0.778677	0.0197758	0.0263654	0.110903	0.0152734	0.0431848	0.00444299	0.0151416	0.798506	0.0125474	0.0132593	0.00025499	0.0369192	0.0441448	0.0114373	0.040807	0.853177	
4000	-5369.74	0.883977	0.0500421	0.00207132	0.00453701	0.0348078	0.00927696	0.0152882	0.0198617	0.922644	0.00145712	0.0159816	0.0287475	0.00165265	0.00965498	0.0201079	0.0165911	0.855573	0.00635682	0.0170471	0.0694351	0.014889	0.0065211	0.0676493	0.00181043	0.878636	0.00436565	0.0200327	0.0209849	0.0195079	0.0509696	0.00209189	0.0705541	0.80804	0.0135379	0.0352986	0.0622295	0.0313733	0.0585513	0.0178839	0.0425073	0.731876	0.0555792	0.00656702	0.00025499	0.0127925	0.0535464	0.0334636	0.0040996	0.889276	
6000	-5360.28	0.882119	0.00732656	0.0423756	0.0250248	0.0209771	0.00927696	0.0129004	0.0135235	0.865218	0.006347	0.0473673	0.0209254	0.0293775	0.0172414	0.0219151	0.00337131	0.821676	0.0931794	0.0192736	0.0133839	0.0272009	0.00535926	0.0502325	0.0180585	0.89703	0.00314135	0.00225876	0.02392	0.0888563	0.0053382	0.0501849	0.025346	0.774419	0.0136846	0.0421715	0.110837	0.0237749	0.00811405	0.116721	0.0271618	0.68751	0.0258812	0.0330791	0.00642488	0.0357159	0.0143076	0.010732	0.00162402	0.898117	
8000	-5299.53	0.891745	0.0323605	0.00388923	0.0145697	0.0393376	0.00927696	0.00882071	0.01111	0.86866	0.00659976	0.0527589	0.0455551	0.000699455	0.014617	0.00533197	0.0152928	0.837571	0.0701899	0.0012678	0.0458942	0.0244525	0.00306008	0.018358	0.027653	0.927384	0.00958989	0.0121941	0.00176115	0.0319099	0.0561347	0.0186188	0.0460273	0.758696	0.016806	0.0718073	0.151318	0.042562	0.030962	0.044439	0.0209166	0.684241	0.0255615	0.0109918	0.0312973	0.00441796	0.0358462	0.0107895	0.00574116	0.900916	
10000	-5314.04	0.861826	0.014314	0.00388923	0.0155574	0.0273492	0.0244762	0.0525879	0.00771441	0.874693	0.0254506	0.0194632	0.000556623	0.00634937	0.065773	0.00354658	0.00335754	0.781387	0.160914	0.0114834	0.0200697	0.0192421	0.0142472	0.0249165	0.0538807	0.876988	0.00290495	0.0191841	0.00787811	0.0699166	0.0256414	0.0674793	0.0340437	0.684534	0.0250804	0.0933047	0.13706	0.0428666	0.0331558	0.0282446	0.0107301	0.693648	0.0542947	0.0155392	0.0953645	0.0141404	0.0538473	0.00106468	0.0194842	0.80056	
12000	-5327.48	0.884309	0.0217913	0.0215653	0.0527899	0.003937	0.000911503	0.0146961	0.0305539	0.88372	0.0412737	0.0301829	0.000556623	0.0126995	0.00101371	0.00213348	0.0137441	0.767654	0.142468	0.00665414	0.0079714	0.0593747	0.000775028	0.0188945	0.0559083	0.878686	0.00227257	0.00721675	0.0362467	0.0780578	0.0484645	0.0418291	0.0132366	0.671814	0.021701	0.124897	0.0289425	0.0323664	0.00859392	0.165595	0.00472363	0.691189	0.0685893	0.0047616	0.144833	0.0123141	0.043639	0.0100558	0.0168055	0.767591	
14000	-5281.64	0.893605	0.0390252	0.0299387	0.000561004	0.0148518	0.0129248	0.00909399	0.0136961	0.904366	0.0371745	0.0282778	0.0119733	0.00284487	0.00166695	0.0114531	0.0862658	0.831092	0.057263	0.00205348	0.00531842	0.00655391	0.000775028	0.0336662	0.0242829	0.890157	0.00113713	0.00961702	0.040365	0.0716113	0.0594377	0.0966082	0.0533919	0.668603	0.0145101	0.0358381	0.0372768	0.00329887	0.0250185	0.0854193	0.0130157	0.732936	0.103034	0.0249464	0.143245	0.0429637	0.0606038	0.0113608	0.0242454	0.692635	
16000	-5301.11	0.947841	0.0174778	0.00448007	0.0125301	0.00255077	0.000127718	0.014993	0.0183589	0.8657	0.00779986	0.0512576	0.00764495	0.00425632	0.0449823	0.00104145	0.0542018	0.823753	0.117313	1.2745e-005	0.00249723	0.00118116	0.0107067	0.0361576	0.0294389	0.851255	0.0403477	0.00860138	0.0234931	0.0703397	0.0428717	0.037423	0.0914428	0.705861	0.0265758	0.0254861	0.0245357	0.0268182	0.0161204	0.129087	0.0744048	0.689801	0.0392324	0.0902411	0.116586	0.0214634	0.020874	0.0347986	0.0311493	0.684887	
18000	-5277.72	0.919164	0.0353054	0.00939528	0.0181431	0.00374492	0.00575141	0.0084958	0.0183589	0.912932	0.00032391	0.0224879	0.00881492	0.0127305	0.0243515	0.00898901	0.0256593	0.805672	0.101052	0.00217883	0.0166851	0.0397633	0.00578326	0.0634806	0.018729	0.89432	0.0024198	0.00478214	0.0104851	0.0874092	0.00497272	0.015674	0.0857545	0.729867	0.0105066	0.0658163	0.00381755	0.053153	0.00285335	0.102089	0.00470554	0.807909	0.0254731	0.0617114	0.0330219	0.134829	0.00653323	0.0140315	0.0242747	0.725598	
20000	-5299.66	0.907803	0.0353054	0.00715631	0.0164552	0.00306791	0.00523335	0.024979	0.0030924	0.937355	0.0113787	0.0282817	0.00138662	0.00844362	0.0100622	0.00476316	0.039063	0.775283	0.137504	0.00255456	0.001951	0.0388816	0.00878132	0.0603388	0.00987177	0.888694	0.0229246	0.00731143	0.0020783	0.0909744	0.0496623	0.0119861	0.028049	0.753844	0.0101404	0.055344	0.00133184	0.0942556	0.0593742	0.0984265	0.0636465	0.673379	0.00958639	0.00370507	0.0541909	0.0448085	0.112796	0.00215697	0.00345064	0.778892	
