Sample_ID,D10
130-1_538149.f,201
130-2_538150.f,201
130-2_538150.f,228
130-3_538151.f,201
236-1_538152.f,201
236-2_538153.f,201
237-1_538154.f,194
237-1_538154.f,201
237-2_538155.f,201
237-2_538155.f,237
237-3_538156.f,201
238-1_538157.f,201
238-2_538158.f,201
238-3_538159.f,194
238-3_538159.f,201
238-4_538160.f,201
A1_538131.fsa,206
A1_538131.fsa,211
A2_538132.fsa,206
ALL1_538076.fs,201
ALL10_538085.f,201
ALL11_538086.f,201
ALL12_538087.f,201
ALL13_538088.f,201
ALL14_538089.f,201
ALL15_538090.f,201
ALL16_538091.f,201
ALL17_538092.f,201
ALL18_538093.f,201
ALL19_538094.f,201
ALL2_538077.fs,201
ALL20_538095.f,201
ALL3_538078.fs,201
ALL4_538079.fs,201
ALL5_538080.fs,201
ALL6_538081.fs,201
ALL7_538082.fs,201
ALL8_538083.fs,201
ALL9_538084.fs,201
BEF-07212-01_5,201
BEF-07212-02_5,201
BEF-07212-03_5,201
BEF-07212-05_5,201
C024_538143.fs,197
C033_538142.fs,197
C033_538142.fs,201
C041_538141.fs,197
C219_538140.fs,197
Chip-01_538096,201
Chip-01_538096,206
Chip-02_538097,228
Chip-02_538097,232
Chip-03_538098,201
Chip-03_538098,232
Chip-04_538099,201
Chip-04_538099,232
Chip-05_538100,206
Chip-05_540979,206
Chip-05_540979,232
Chip-07_538102,201
Chip-08_538103,201
Chip-08_538103,232
Chip-09_538104,206
Chip-09_538104,232
Chip-10_538105,206
Chip-10_538105,232
Chip-11_538106,201
Chip-11_538106,237
Chip-12_538107,232
Chip-13_538108,232
Chip-14_538109,201
Chip-14_538109,232
Chip-15_538110,201
Chip-15_538110,232
Chip-16_538111,201
Chip-17_538112,194
Chip-17_538112,201
Chip-18_538113,194
Chip-18_538113,201
CHIP-19_538114,194
CHIP-19_538114,232
Chip-20_538115,201
Chip-20_538115,206
Chip-21_538116,201
Chip-21_538116,206
Chip6_538101.f,201
Chip6_538101.f,206
INHS-14795_538,237
INHS-14795_540,201
INHS-22893_538,228
INHS-22893_538,232
INHS-30476_538,206
INHS-30476_538,237
INHS-3531_5381,197
INHS-6271_5381,194
INHS-6271_5409,241
m-07-01_538119,232
