"Sample_ID","D114"
"130-1_539018.f","224"
"130-1_539018.f","249"
"130-2_539019.f","228"
"130-2_539019.f","244"
"130-3_539020.f","249"
"130-3_539020.f","264"
"236-1_539021.f","240"
"236-1_539021.f","249"
"236-2_539022.f","249"
"236-2_539022.f","253"
"237-1_539023.f","244"
"237-1_539023.f","257"
"237-2_539024.f","232"
"237-2_539024.f","244"
"237-3_539025.f","232"
"237-3_539025.f","249"
"238-1_539026.f","236"
"238-1_539026.f","240"
"238-2_539027.f","253"
"238-2_539027.f","257"
"238-3_539028.f","244"
"238-3_539028.f","253"
"238-4_539029.f","224"
"238-4_539029.f","232"
"A1_539000.fsa","219"
"A1_539000.fsa","232"
"A2_539001.fsa","236"
"A2_539001.fsa","249"
"ALL1_538945.fs","240"
"ALL1_538945.fs","244"
"ALL10_538954.f","240"
"ALL10_538954.f","244"
"ALL11_538955.f","244"
"ALL11_538955.f","253"
"ALL12_538956.f","244"
"ALL13_538957.f","244"
"ALL13_538957.f","253"
"ALL14_538958.f","224"
"ALL14_538958.f","240"
"ALL15_538959.f","240"
"ALL15_538959.f","244"
"ALL16_538960.f","244"
"ALL17_538961.f","236"
"ALL17_538961.f","244"
"ALL18_538962.f","232"
"ALL18_538962.f","244"
"ALL19_538963.f","249"
"ALL19_538963.f","253"
"ALL2_538946.fs","224"
"ALL2_538946.fs","240"
"ALL20_538964.f","240"
"ALL20_538964.f","253"
"ALL3_538947.fs","240"
"ALL3_538947.fs","244"
"ALL4_538948.fs","240"
"ALL4_538948.fs","244"
"ALL5_538949.fs","244"
"ALL5_538949.fs","253"
"ALL6_538950.fs","253"
"ALL6_538950.fs","257"
"ALL7_538951.fs","240"
"ALL7_538951.fs","244"
"ALL8_538952.fs","244"
"ALL9_538953.fs","244"
"ALL9_538953.fs","253"
"BEF-07212-01_5","244"
"BEF-07212-02_5","244"
"BEF-07212-02_5","264"
"BEF-07212-03_5","240"
"BEF-07212-03_5","244"
"BEF-07212-05_5","228"
"BEF-07212-05_5","244"
"C024_539012.fs","228"
"C024_539012.fs","236"
"C033_539011.fs","236"
"C033_539011.fs","244"
"C041_539010.fs","240"
"C041_539010.fs","249"
"C219_539009.fs","224"
"C219_539009.fs","253"
"Chip-01_538965","253"
"Chip-01_538965","257"
"Chip-02_538966","244"
"Chip-02_538966","249"
"Chip-03_538967","240"
"Chip-03_538967","249"
"Chip-04_538968","240"
"Chip-04_538968","244"
"Chip-05_538969","253"
"Chip-05_540994","253"
"Chip-05_540994","270"
"Chip-07_538971","244"
"Chip-08_538972","240"
"Chip-08_538972","249"
"Chip-09_538973","244"
"Chip-10_538974","240"
"Chip-10_538974","244"
"Chip-11_538975","244"
"Chip-12_538976","244"
"Chip-12_538976","253"
"Chip-13_538977","244"
"Chip-14_538978","240"
"Chip-14_538978","244"
"Chip-15_538979","244"
"Chip-16_538980","236"
"Chip-16_538980","244"
"Chip-17_538981","244"
"Chip-18_538982","240"
"CHIP-19_538983","244"
"CHIP-19_538983","249"
"Chip-20_538984","240"
"Chip-20_538984","244"
"Chip-21_538985","244"
"Chip-21_538985","249"
"Chip6_538970.f","244"
"INHS-16244_540","244"
"INHS-22893_538","244"
"INHS-30476_539","244"
"INHS-30476_539","253"
"INHS-6271_5390","240"
"INHS-6271_5409","249"
"INHS-6271_5409","264"
"m-07-01_538988","249"
"m-07-01_538988","253"
"m-07-03_538990","240"
"m-07-03_538990","249"
"m-07-04_538991","249"
"m-07-04_538991","253"
"m-07-05_538992","244"
"m-07-05_538992","253"
"m-07-06_538993","249"
"m-07-07_538994","244"
"m-07-07_540995","244"
"m-07-07_540995","257"
"MER2_538989.fs","249"
"MER2_538989.fs","253"
"Meramec-A_5389","244"
"Meramec-A_5389","253"
"Meramec-B_5389","240"
"MS1_538879.fsa","236"
"MS1_538879.fsa","240"
"MS10_538888.fs","240"
"MS11_538889.fs","240"
"MS11_538889.fs","244"
"MS12_538890.fs","240"
"MS12_538890.fs","244"
"MS13_538891.fs","244"
"MS14_538892.fs","236"
"MS14_538892.fs","240"
"MS15_538893.fs","249"
"MS15_538893.fs","253"
"MS16_538894.fs","236"
"MS16_538894.fs","240"
"MS17_538895.fs","240"
"MS17_538895.fs","253"
"MS18_538896.fs","244"
"MS18_538896.fs","249"
