Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 2/12/2018 4:02:09 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\F87\F87.SGF,,,,,,,,,,,
Panel: F87,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_1A1_539505.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_1A1_539505.fsa,Green,146.3,12772,82252,146,146,0,Pass,500,,
A01_1A1_539505.fsa,Green,148.7,15167,105983,149,149,0,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_PT74_549022.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_PT74_549022.fsa,Green,138.8,6520,41492,139,139,0.4,Pass,500,,
A01_PT74_549022.fsa,Green,141.2,4366,29334,142,142,0.4,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A02_1A9_539513.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A02_1A9_539513.fsa,Green,153.1,3610,21649,153,153,0.1,Pass,500,,
A02_1A9_539513.fsa,Green,155.3,1810,10898,155,155,0.2,Pass,370,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A02_PT82_549030.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A02_PT82_549030.fsa,Green,126,10757,65379,126,126,0.1,Pass,500,,
A02_PT82_549030.fsa,Green,145.9,5984,39771,146,146,0.4,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A03_1B8_539521.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A03_1B8_539521.fsa,Green,143.9,14900,117243,144,144,0,Pass,500,,
