Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 10/30/2017 12:11:36 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\7729 PC A120\PC A120.SGF,,,,,,,,,,,
Panel: Pc A120,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_Oil-City-A_537440.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_C219_537806.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_C219_537806.fsa,Green,226,5505,34567,226,226,0.3,Pass,500,,
A01_C219_537806.fsa,Green,230.5,4076,24795,230,230,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A01_MS1_536517.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_MS1_536517.fsa,Green,221.9,6026,37050,222,222,0.5,Pass,500,,
A01_MS1_536517.fsa,Green,226.4,4019,25135,226,226,0.7,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A10_ALL20_536589.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_ALL20_536589.fsa,Green,223.5,5949,36825,224,224,0.1,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A11_CHIP-6_536677_reamp.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 6: A02_ALL8_537448.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
