"Sample_ID","D119"
"130-1_539487.f","302"
"130-1_539487.f","318"
"130-2_539488.f","287"
"130-2_539488.f","310"
"130-3_539489.f","298"
"236-1_539490.f","287"
"236-1_539490.f","302"
"236-2_539491.f","287"
"236-2_539491.f","294"
"237-1_539492.f","291"
"237-1_539492.f","302"
"237-2_539493.f","298"
"237-2_539493.f","302"
"237-3_539494.f","302"
"237-3_539494.f","306"
"238-1_539495.f","306"
"238-2_539496.f","287"
"238-2_539496.f","291"
"238-3_539497.f","298"
"238-3_539497.f","302"
"238-4_539498.f","283"
"238-4_539498.f","310"
"A1_539469.fsa","294"
"A1_539469.fsa","302"
"A2_539470.fsa","302"
"A2_539470.fsa","306"
"ALL1_539415.fs","298"
"ALL1_539415.fs","318"
"ALL10_539424.f","302"
"ALL11_539425.f","298"
"ALL11_539425.f","306"
"ALL12_539426.f","327"
"ALL13_539427.f","291"
"ALL13_539427.f","302"
"ALL14_539428.f","287"
"ALL14_539428.f","302"
"ALL15_539429.f","287"
"ALL15_539429.f","298"
"ALL16_539430.f","294"
"ALL16_539430.f","302"
"ALL17_539431.f","302"
"ALL17_539431.f","306"
"ALL18_539432.f","298"
"ALL18_539432.f","327"
"ALL19_539433.f","275"
"ALL19_539433.f","291"
"ALL2_539416.fs","298"
"ALL20_539434.f","287"
"ALL20_539434.f","310"
"ALL3_539417.fs","294"
"ALL4_539418.fs","302"
"ALL4_539418.fs","327"
"ALL5_539419.fs","302"
"ALL5_539419.fs","306"
"ALL6_539420.fs","298"
"ALL6_539420.fs","310"
"ALL7_539421.fs","302"
"ALL7_539421.fs","327"
"ALL8_539422.fs","287"
"ALL8_539422.fs","302"
"ALL9_539423.fs","287"
"ALL9_539423.fs","310"
"BEF-07212-01_5","298"
"BEF-07212-01_5","306"
"BEF-07212-02_5","294"
"BEF-07212-02_5","302"
"BEF-07212-03_5","294"
"BEF-07212-03_5","306"
"BEF-07212-05_5","302"
"C024_539481.fs","302"
"C024_539481.fs","318"
"C033_539480.fs","302"
"C033_539480.fs","314"
"C041_539479.fs","302"
"C041_539479.fs","314"
"C219_539478.fs","302"
"C219_539478.fs","310"
"Chip-01_539435","302"
