Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 10/19/2017 12:13:31 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\7728 PC A115\PC A115.SGF,,,,,,,,,,,
Panel: Pc A115,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_MS1_536443.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_MS1_536443.fsa,Green,285.2,3358,19273,285,285,0.2,Pass,500,,
A01_MS1_536443.fsa,Green,296.9,2166,12559,297,297,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_Oil-City-A_537214.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_Oil-City-A_537214.fsa,Green,289.1,16973,109386,289,289,0,Pass,500,[<SAT (Repaired)><Confirmed>],SR
A01_Oil-City-A_537214.fsa,Green,301.1,12979,90033,301,301,0.4,Pass,500,[<Confirmed>],
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A10_ALL20_536515.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_ALL20_536515.fsa,Green,292.5,2268,13472,292,292,0.3,Pass,500,,
A10_ALL20_536515.fsa,Green,304.9,1401,9332,305,305,0.3,Pass,219.7,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A10_237-2_537286.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_237-2_537286.fsa,Green,284.6,1369,8349,285,285,0.4,Pass,214.1,,
A10_237-2_537286.fsa,Green,300.5,906,6574,301,301,0.2,Pass,83,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A11_WI94_537294.fsa,,,,,,,,,,,
,,,,,,,,,,,
