Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 10/24/2017 10:03:16 AM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\7731 PC C105\PC C105.SGF,,,,,,,,,,,
Panel: Pc C105,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_Oil-City-A_537719.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_Oil-City-A_537719.fsa,Green,258.1,14346,85607,258,258,0.1,Pass,500,,
A01_Oil-City-A_537719.fsa,Green,274.6,11174,67393,274,274,0.1,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_MS1_536597.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_MS1_536597.fsa,Green,283.3,7979,47200,283,283,0.1,Pass,500,,
A01_MS1_536597.fsa,Green,318.5,6407,44667,319,319,0,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A10_237-2_537791.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_237-2_537791.fsa,Green,250.4,9649,58749,251,251,0.2,Pass,500,,
A10_237-2_537791.fsa,Green,262.9,10175,61227,263,263,0.4,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A10_ALL20_536669.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_ALL20_536669.fsa,Green,261.5,16133,126040,262,262,0.1,Pass,500,,
A10_ALL20_536669.fsa,Green,271.3,16475,120467,272,272,0.7,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A11_WI94_537799.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
