Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 8/29/2017 2:39:29 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\7704 PC C1\PC C1.SGF,,,,,,,,,,,
Panel: Pc C1,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_Oil-City-A_540830.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_Oil-City-A_540830.fsa,Green,339.6,15688,120837,339,339,0.3,Pass,500,[<SAT (Repaired)><Confirmed>],SR
A01_Oil-City-A_540830.fsa,Green,381.8,15564,106506,382,382,0,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_MS1_535006.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_MS1_535006.fsa,Green,339.7,5640,33585,339,339,0.4,Pass,500,,
A01_MS1_535006.fsa,Green,354.8,4111,23671,355,355,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A10_BEF-07212-03_540902.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_BEF-07212-03_540902.fsa,Green,309.2,18125,132388,310,310,0.5,Pass,500,,
A10_BEF-07212-03_540902.fsa,Green,326.3,15236,109621,327,327,0.3,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A10_WV1_535078.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_WV1_535078.fsa,Green,309.5,16140,104772,310,310,0.2,Pass,500,,
A10_WV1_535078.fsa,Green,322.2,15877,100144,323,323,0.3,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A11_PBH2A_535648_amp2.fsa,,,,,,,,,,,
,,,,,,,,,,,
