Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 11/1/2017 4:00:57 PM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\D125\PC D125.SGF,,,,,,,,,,,
Panel: Pc D125,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_MS1_539036.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_MS1_539036.fsa,Green,242,6488,41463,241,241,1,Pass,500,,
A01_MS1_539036.fsa,Green,259.8,4212,24545,260,260,0,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A01_Chip-11_539132.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_Chip-11_539132.fsa,Green,263.7,8683,46017,264,264,0.2,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: A10_ALL7_539108.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A10_ALL7_539108.fsa,Green,263.8,16110,97297,264,264,0.3,Pass,500,,
A10_ALL7_539108.fsa,Green,273.3,14190,81904,274,274,0.6,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: A11_ALL15_539116.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A11_ALL15_539116.fsa,Green,275.1,8494,46904,274,274,1.2,Pass,500,,
A11_ALL15_539116.fsa,Green,277.9,7465,39372,278,278,0.3,Pass,500,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 5: A12_Chip-03_539124.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A12_Chip-03_539124.fsa,Green,250,21056,144644,249,249,0.7,Pass,500,[<SAT (Repaired)><Confirmed>],SR
