ALL	 pop_1 	A103 	4 	4
ALL_2	 pop_1 	A103 	4 	8
ALL_3	 pop_1 	A103 	4 	6
ALL_4	 pop_1 	A103 	3 	4
ALL_5	 pop_1 	A103 	3 	10
ALL_6	 pop_1 	A103 	4 	4
ALL_7	 pop_1 	A103 	3 	3
ALL_8	 pop_1 	A103 	4 	5
ALL_9	 pop_1 	A103 	6 	10
ALL_10	 pop_1 	A103 	4 	4
ALL_11	 pop_1 	A103 	3 	6
ALL_12	 pop_1 	A103 	3 	3
ALL_13	 pop_1 	A103 	6 	8
ALL_14	 pop_1 	A103 	4 	7
ALL_15	 pop_1 	A103 	4 	8
ALL_16	 pop_1 	A103 	3 	3
ALL_17	 pop_1 	A103 	3 	6
ALL_18	 pop_1 	A103 	3 	7
ALL_19	 pop_1 	A103 	3 	10
ALL_20	 pop_1 	A103 	3 	3
ALL_21	 pop_1 	A103 	6 	7
ALL_22	 pop_1 	A103 	4 	7
CHIP	 pop_2 	A103 	4 	5
CHIP_2	 pop_2 	A103 	7 	7
CHIP_3	 pop_2 	A103 	3 	7
CHIP_4	 pop_2 	A103 	3 	5
CHIP_5	 pop_2 	A103 	5 	7
CHIP_6	 pop_2 	A103 	1 	5
CHIP_7	 pop_2 	A103 	3 	4
CHIP_8	 pop_2 	A103 	0 	3
CHIP_9	 pop_2 	A103 	3 	5
CHIP_10	 pop_2 	A103 	7 	8
CHIP_11	 pop_2 	A103 	5 	6
CHIP_12	 pop_2 	A103 	4 	5
CHIP_13	 pop_2 	A103 	0 	7
CHIP_14	 pop_2 	A103 	5 	7
CHIP_15	 pop_2 	A103 	4 	7
CHIP_16	 pop_2 	A103 	1 	5
CHIP_17	 pop_2 	A103 	4 	5
CHIP_18	 pop_2 	A103 	3 	7
CHIP_19	 pop_2 	A103 	0 	7
CHIP_20	 pop_2 	A103 	3 	8
CHIP_21	 pop_2 	A103 	3 	6
MER	 pop_3 	A103 	6 	7
MER_2	 pop_3 	A103 	1 	2
MER_3	 pop_3 	A103 	1 	4
