Peak Table,,,,,,,,,,,
Software Package: SoftGenetics GeneMarker 1.95,,,,,,,,,,,
Date/Time: 11/27/2017 11:36:03 AM,,,,,,,,,,,
,,,,,,,,,,,
Project: E:\Microsat files\WIS\A103\A103_wis.SGF,,,,,,,,,,,
Panel: Pc A103,,,,,,,,,,,
Size: GS500,,,,,,,,,,,
Analysis Type: Fragment (Animal),,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 1: A01_PCP1_543881.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A01_PCP1_543881.fsa,Blue,238.8,2012,10627,,OL,1,Undetermined,500,,
A01_PCP1_543881.fsa,Blue,247.6,1871,9756,,OL,1,Undetermined,483.8,,
A01_PCP1_543881.fsa,Green,240.9,17846,136355,242,242,1.1,Check,500,[<SAT (Repaired)>],SR
A01_PCP1_543881.fsa,Green,249.7,13449,97673,,251,1,Undetermined,500,[<SAT (Repaired)><Edited>],SR
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 2: A02_PWO7_543889.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
A02_PWO7_543889.fsa,Green,249.1,2292,14967,249,249,0.5,Pass,444.7,,
A02_PWO7_543889.fsa,Green,251.1,1735,10448,251,251,0.5,Pass,349,,
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 3: B01_PCP2_543882.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
B01_PCP2_543882.fsa,Green,249.7,3289,20799,,251,1,Undetermined,500,[<Edited>],
,,,,,,,,,,,
,,,,,,,,,,,
Sample: 4: B02_PWO8_543890.fsa,,,,,,,,,,,
,,,,,,,,,,,
Sample,Dye,Size,Height,Area,Marker,Allele,Difference,Quality,Score,Comments,Quality Reasons
B02_PWO8_543890.fsa,Blue,229.3,2359,12923,,OL,1,Undetermined,500,,
B02_PWO8_543890.fsa,Blue,240,2225,11500,,OL,1,Undetermined,500,,
