"Sample_ID","F17"
"1A1_539667.fsa","284"
"1A1_539667.fsa","344"
"1A2_539668.fsa","284"
"1A2_539668.fsa","344"
"1A3_539669.fsa","299"
"1A3_539669.fsa","324"
"1A5_541011.fsa","340"
"1A5_541011.fsa","344"
"1A6_541012.fsa","284"
"1A6_541012.fsa","359"
"1A7_541013.fsa","295"
"1A7_541013.fsa","299"
"1B1_541016.fsa","324"
"1B1_541016.fsa","386"
"1B2_541017.fsa","351"
"1B3_541018.fsa","324"
"1B3_541018.fsa","390"
"1B4_541019.fsa","351"
"1B4_541019.fsa","355"
"1B6_541021.fsa","291"
"1B6_541021.fsa","295"
"1B7_541022.fsa","299"
"1B7_541022.fsa","359"
"1B8_541023.fsa","299"
"1B8_541023.fsa","340"
"1B9_541024.fsa","344"
"1B9_541024.fsa","378"
"1C1_541025.fsa","336"
"1C1_541025.fsa","340"
"1C2_541026.fsa","295"
"1C2_541026.fsa","370"
"1C3_541027.fsa","344"
"1C3_541027.fsa","382"
"1C4_541028.fsa","351"
"1C4_541028.fsa","359"
"1C5_541029.fsa","299"
"1C5_541029.fsa","344"
"1C6_541030.fsa","295"
"1C6_541030.fsa","359"
"1C8_541032.fsa","359"
"1C8_541032.fsa","378"
"1C9_541033.fsa","299"
"1C9_541033.fsa","336"
"1D2_541035.fsa","355"
"1D2_541035.fsa","367"
"1D3_541036.fsa","328"
"1D3_541036.fsa","359"
"1D4_541037.fsa","287"
"1D4_541037.fsa","340"
"1D5_541038.fsa","299"
"1D5_541038.fsa","336"
"1D6_541039.fsa","359"
"1D6_541039.fsa","386"
"1D7_541040.fsa","378"
"1D7_541040.fsa","382"
"1D8_541041.fsa","328"
"1D8_541041.fsa","340"
"1D9_541042.fsa","328"
"1D9_541042.fsa","332"
"1E1_541043.fsa","336"
"1E1_541043.fsa","390"
"1E2_541044.fsa","320"
"1E2_541044.fsa","332"
"1E3_541045.fsa","328"
"1E3_541045.fsa","348"
"1E4_541046.fsa","328"
"1E4_541046.fsa","382"
"1E5_541047.fsa","378"
"1E5_541047.fsa","390"
"1E6_541048.fsa","324"
"1E6_541048.fsa","390"
"1E7_541049.fsa","320"
"1E7_541049.fsa","324"
"1E8_541050.fsa","332"
"1E8_541050.fsa","390"
"1E9_541051.fsa","311"
"1E9_541051.fsa","382"
"1F1_541052.fsa","316"
"1F1_541052.fsa","390"
"1F2_541053.fsa","340"
"1F2_541053.fsa","390"
"1F3_541054.fsa","332"
"1F3_541054.fsa","390"
"1F4_541055.fsa","382"
"1F4_541055.fsa","390"
"1F5_541056.fsa","324"
"1F5_541056.fsa","328"
"1F6_541057.fsa","382"
"1F6_541057.fsa","390"
"1F7_541058.fsa","320"
"1F7_541058.fsa","332"
"1F8_541059.fsa","332"
"1F8_541059.fsa","390"
"1F9_541060.fsa","316"
"1F9_541060.fsa","390"
